[13/06/2022 12:03:36 - INFO] Discord Presence activated
[13/06/2022 12:03:36 - INFO] Creating discord-rpc client
[13/06/2022 12:03:40 - INFO] Successfully connected to Discord
[13/06/2022 12:03:40 - DEBUG] Loading git extension
[13/06/2022 12:03:40 - TRACE] VSCode language id: html
[13/06/2022 12:03:46 - TRACE] VSCode language id: css
[13/06/2022 12:03:53 - TRACE] VSCode language id: css
[13/06/2022 12:03:55 - TRACE] VSCode language id: css
[13/06/2022 12:04:02 - TRACE] VSCode language id: css
[13/06/2022 12:04:04 - TRACE] VSCode language id: css
[13/06/2022 12:04:06 - TRACE] VSCode language id: css
[13/06/2022 12:04:44 - TRACE] VSCode language id: css
[13/06/2022 12:04:46 - TRACE] VSCode language id: html
[13/06/2022 12:04:58 - TRACE] VSCode language id: html
[13/06/2022 12:05:00 - TRACE] VSCode language id: html
[13/06/2022 12:05:03 - TRACE] VSCode language id: html
[13/06/2022 12:05:05 - TRACE] VSCode language id: html
[13/06/2022 12:05:07 - TRACE] VSCode language id: html
[13/06/2022 12:05:09 - TRACE] VSCode language id: html
[13/06/2022 12:05:11 - TRACE] VSCode language id: html
[13/06/2022 12:05:11 - TRACE] VSCode language id: html
[13/06/2022 12:05:13 - TRACE] VSCode language id: html
[13/06/2022 12:05:15 - TRACE] VSCode language id: html
[13/06/2022 12:05:17 - TRACE] VSCode language id: html
[13/06/2022 12:05:20 - TRACE] VSCode language id: html
[13/06/2022 12:05:22 - TRACE] VSCode language id: html
[13/06/2022 12:05:24 - TRACE] VSCode language id: html
[13/06/2022 12:05:26 - TRACE] VSCode language id: html
[13/06/2022 12:05:29 - TRACE] VSCode language id: html
[13/06/2022 12:05:32 - TRACE] VSCode language id: html
[13/06/2022 12:05:34 - TRACE] VSCode language id: html
[13/06/2022 12:05:36 - TRACE] VSCode language id: html
[13/06/2022 12:05:38 - TRACE] VSCode language id: html
[13/06/2022 12:05:40 - TRACE] VSCode language id: html
[13/06/2022 12:05:41 - TRACE] VSCode language id: html
[13/06/2022 12:05:43 - TRACE] VSCode language id: html
[13/06/2022 12:05:45 - TRACE] VSCode language id: html
[13/06/2022 12:05:46 - TRACE] VSCode language id: html
[13/06/2022 12:05:48 - TRACE] VSCode language id: html
[13/06/2022 12:05:50 - TRACE] VSCode language id: html
[13/06/2022 12:05:52 - TRACE] VSCode language id: html
[13/06/2022 12:05:54 - TRACE] VSCode language id: html
[13/06/2022 12:05:56 - TRACE] VSCode language id: html
[13/06/2022 12:05:59 - TRACE] VSCode language id: html
[13/06/2022 12:06:01 - TRACE] VSCode language id: html
[13/06/2022 12:06:03 - TRACE] VSCode language id: html
[13/06/2022 12:06:05 - TRACE] VSCode language id: html
[13/06/2022 12:06:07 - TRACE] VSCode language id: html
[13/06/2022 12:06:09 - TRACE] VSCode language id: html
[13/06/2022 12:06:11 - TRACE] VSCode language id: html
[13/06/2022 12:15:20 - TRACE] VSCode language id: html
[13/06/2022 12:15:22 - TRACE] VSCode language id: html
[13/06/2022 12:15:24 - TRACE] VSCode language id: html
[13/06/2022 12:15:26 - TRACE] VSCode language id: html
[13/06/2022 12:15:28 - TRACE] VSCode language id: html
[13/06/2022 12:15:30 - TRACE] VSCode language id: html
